lead_id,true_segment,agent_first_name,metro_tier,years_licensed,deals_last_12m,team_role,has_youtube,yt_subscribers,videos_last_90d,ig_posts_per_month,lead_source,deals_bucket,bio,true_p0,true_p1,true_call_uplift,true_reply_p_tmpl0,true_reply_p_tmpl1,true_reply_p_tmpl2,rule_fit,llm_fit,llm_fallback,llm_status,llm_reason,W,template,pi_W,pi_A,booked_call,positive_reply
L60917004144,sure_thing_inbound,Daniel,tier1,21,6,team_member,True,483,0,4,inbound_form,mid,Daniel is a licensed agent in a major metro with 21 years in the business. Closed 6 deals in the last 12 months. Has been thinking about trying short-form video content.,0.29488812217663846,0.3151768391790377,0.02028871700239926,0.12536879379127205,0.061273250857818,0.07932849818895371,46.483000000000004,78.0,False,ok,"Experienced, thinking about video, room to grow",0,0,0.5,0.3333333333333333,0,0
L60917002870,ambiguous_team_member,Daniel,tier1,18,5,team_member,False,0,0,11,cold_list,mid,"Daniel has been licensed for 18 years, working in a major metro. Works with an in-house videographer on a regular posting schedule.",0.06618001927776337,0.10731292283817889,0.04113290356041552,0.11714017586418513,0.11741053234140994,0.06296654947131344,5.0,25.0,False,ok,"Already has in-house videographer, little to add",1,0,0.5,0.3333333333333333,0,0
L60917000282,lost_cause_parttime,Carlos,tier1,15,0,solo,False,0,0,2,cold_list,low,"Based in a major metro, Carlos has 15 years of experience. Closed 0 deals in the last 12 months.",0.033577964511034085,0.04638489944139443,0.012806934930360343,0.11947466639817209,0.10535464550740431,0.09891800065291895,0.0,30.0,False,ok,"Experienced but zero deals, low momentum",1,0,0.5,0.3333333333333333,0,0
L60917001016,sure_thing_inbound,Michael,tier1,5,5,team_member,False,0,0,6,inbound_form,mid,Michael is a realtor in a major metro.,0.28649745849600167,0.24241144959060462,-0.044086008905397045,0.14511214240332887,0.09093989842937139,0.07547333740740039,25.0,45.0,False,ok,"Minimal info, major metro realtor",1,0,0.5,0.3333333333333333,1,0
L60917002876,ambiguous_team_member,Fatima,tier3,20,11,team_member,False,0,0,6,cold_list,mid,"Fatima has been licensed for 20 years, working in a smaller market. Closed 11 deals in the last 12 months.",0.06212451961457948,0.0810093285363781,0.01888480892179862,0.12189134433418072,0.08204991088880884,0.06322064969411706,11.0,72.0,False,ok,"Experienced, strong production, smaller market",1,0,0.5,0.3333333333333333,0,0
L60917004461,lost_cause_parttime,Chen,tier1,3,3,solo,False,0,0,1,cold_list,low,"Chen has been licensed for 3 years, working in a major metro.",0.019759881403062302,0.01626466567589946,-0.0034952157271628433,0.12796052307979625,0.069798973954562,0.11112280056833557,3.0,55.0,False,ok,"3 years licensed, major metro, unknown production",0,2,0.5,0.3333333333333333,0,0
L60917004782,hidden_gem_sparse_bio,Marcus,tier3,2,19,team_member,False,0,0,8,webinar,high,Marcus is a licensed agent with 2 years in the business.,0.022210675905350852,0.1826698155308272,0.16045913962547634,0.14591585435278548,0.09364876800754296,0.07411144380598539,19.0,40.0,False,ok,"Only 2 years, unknown activity level",0,2,0.5,0.3333333333333333,0,0
L60917002546,ambiguous_team_member,Michael,tier1,15,15,team_member,False,0,0,8,cold_list,high,Michael is a licensed agent with 15 years in the business.,0.040674566931158423,0.12128325635485819,0.08060868942369977,0.09093658703382172,0.10157888950358118,0.10384293372947102,15.0,50.0,False,ok,"Experienced agent, no other details given",0,0,0.5,0.3333333333333333,0,0
L60917000575,hidden_gem_sparse_bio,Andre,tier2,17,19,solo,False,0,0,7,cold_list,high,"Andre has been licensed for 17 years, working in a mid-size metro. Closed 19 deals in the last 12 months.",0.03196138896401759,0.13105705144599228,0.09909566248197468,0.08797756282641948,0.10331376938090601,0.06266460599611157,19.0,80.0,False,ok,"Strong production, established, mid-size metro",1,1,0.5,0.3333333333333333,0,0
L60917005981,ambiguous_team_member,Aisha,tier1,3,14,team_member,False,0,0,2,webinar,mid,Realtor based in a major metro.,0.06888450592887817,0.08540531014658158,0.01652080421770341,0.06802475625521864,0.1036378330547208,0.04338227761742039,14.0,45.0,False,ok,"Minimal info, major metro realtor",1,1,0.5,0.3333333333333333,0,1
