lead_id,true_segment,agent_first_name,metro_tier,years_licensed,deals_last_12m,team_role,has_youtube,yt_subscribers,videos_last_90d,ig_posts_per_month,lead_source,deals_bucket,bio,true_p0,true_p1,true_call_uplift,true_reply_p_tmpl0,true_reply_p_tmpl1,true_reply_p_tmpl2
L61817000000,ambiguous_team_member,Nina,tier1,1,16,team_member,False,0,0,10,cold_list,high,"Based in a major metro, Nina has 1 years of experience. Closed 16 deals in the last 12 months. Posts on Instagram regularly. Added from an outreach list.",0.04182947282660979,0.16893861792552614,0.12710914509891635,0.045597515022962845,0.13009844562490952,0.07506252884892246
L61817000001,do_not_disturb_media_team,Fatima,tier2,10,25,team_lead,True,23333,9,28,cold_list,high,"Based in a mid-size metro, Fatima has 10 years of experience. Keeps up an active social media presence. Added from an outreach list.",0.12427146780531757,0.0401493307712929,-0.08412213703402467,0.09672724746379949,0.03871135134927667,0.13765636074806784
L61817000002,ambiguous_team_member,Priya,tier3,22,8,team_member,False,0,0,4,webinar,mid,Priya is a licensed agent with 22 years in the business.,0.06641566411989602,0.2496629705396751,0.18324730641977907,0.13873411804032415,0.07898001914542213,0.07272990412883384
L61817000003,lost_cause_parttime,Nina,tier2,18,1,solo,False,0,0,1,cold_list,low,Nina is a licensed agent in a mid-size metro with 18 years in the business. Closed 1 deals in the last 12 months. Sourced from a purchased contact list.,0.030268283242471605,0.04625342264150725,0.015985139399035647,0.12001329608945419,0.06486572113762654,0.07741102323262
L61817000004,sure_thing_inbound,Sofia,tier2,8,5,team_member,False,0,0,5,inbound_form,mid,"Sofia has been licensed for 8 years, working in a mid-size metro. Closed 5 deals in the last 12 months. Recently asked about getting started with video for listings. Posts on Instagram regularly. Reached out directly through our website.",0.36067985001777225,0.3727062418662674,0.012026391848495133,0.11743379589433943,0.08452311520060063,0.09788789947408635
L61817000005,lost_cause_parttime,Daniel,tier1,23,3,solo,False,0,0,2,cold_list,low,Daniel is a licensed agent with 23 years in the business.,0.010724840661978255,0.005,-0.0057248406619782545,0.10654461076096092,0.09621134093448391,0.08380309945330211
L61817000006,ambiguous_team_member,Yolanda,tier2,20,12,team_member,False,0,0,4,webinar,mid,Yolanda is a licensed agent in a mid-size metro with 20 years in the business. Closed 12 deals in the last 12 months. Recently asked about getting started with video for listings.,0.04924480077717844,0.17013980628624736,0.12089500550906893,0.08939625650028614,0.0717823226666932,0.09728548902146629
L61817000007,sure_thing_inbound,Chen,tier2,15,9,solo,True,32,1,8,inbound_form,mid,"Chen has been licensed for 15 years, working in a mid-size metro. Reached out directly through our website.",0.3319439677523766,0.3557706981196579,0.02382673036728128,0.1163487604374517,0.07800728283914862,0.0833306438353936
L61817000008,lost_cause_parttime,Daniel,tier1,21,1,solo,False,0,0,3,cold_list,low,"Daniel has been licensed for 21 years, working in a major metro. Closed 1 deals in the last 12 months.",0.024854967109597594,0.04396949547128455,0.019114528361686957,0.10988670034367638,0.060368368029668905,0.0748640766346127
L61817000009,persuadable_growth,Emily,tier3,15,11,solo,False,0,0,7,webinar,mid,Emily is a licensed agent with 15 years in the business.,0.030352909859920237,0.13524691932167895,0.10489400946175872,0.0989572061976378,0.08747439447834482,0.11463118788754095
L61817000010,hidden_gem_sparse_bio,Linda,tier3,13,14,team_member,False,0,0,10,cold_list,mid,"Linda has been licensed for 13 years, working in a smaller market. Closed 14 deals in the last 12 months.",0.030266898444129137,0.23670702603995492,0.20644012759582578,0.12330568674333266,0.10380504014376757,0.0631066514983823
L61817000011,ambiguous_team_member,Yolanda,tier3,14,14,team_member,False,0,0,9,webinar,mid,Yolanda is a licensed agent in a smaller market with 14 years in the business. Has some in-house support for producing video content.,0.030598043033039687,0.11531968038141843,0.08472163734837874,0.10302611934998236,0.10949861753085309,0.056636267546065454
L61817000012,lost_cause_parttime,Brian,tier2,13,0,solo,False,0,0,2,cold_list,low,"Based in a mid-size metro, Brian has 13 years of experience. Added from an outreach list.",0.01697955033281352,0.005,-0.011979550332813518,0.08764396365609084,0.06251295086374886,0.08559173008963858
L61817000013,persuadable_growth,Andre,tier3,16,5,team_member,False,0,0,10,webinar,mid,"Andre has been licensed for 16 years, working in a smaller market. Closed 5 deals in the last 12 months. Signed up after a webinar.",0.0377936542294821,0.19039637406008292,0.1526027198306008,0.13861329355375274,0.09235333111910383,0.07246348378162812
L61817000014,persuadable_growth,Emily,tier2,17,8,solo,False,0,0,13,cold_list,mid,"Based in a mid-size metro, Emily has 17 years of experience.",0.028573914631285797,0.2711579919765953,0.24258407734530948,0.1006994055858192,0.0896443276743428,0.033447128890246834
L61817000015,lost_cause_parttime,Emily,tier1,23,3,solo,False,0,0,3,cold_list,low,Realtor based in a major metro.,0.018321982064275624,0.005,-0.013321982064275623,0.11118023301877603,0.08598979629699892,0.09536675016122767
